Name,Description
Disney Jasmine Debossed Faux Leather Satchel Bag,"A Whole New Baaag...
 I can show you the world...  - Aladdin from, well, Aladdin As you travel the world, be it running errands or venturing to the far off lands of Agrabah, take Jasmine with you with this purple ThinkGeek-exclusive Disney Jasmine Debossed Leather Satchel Bag. Featuring Jasmine's image and name, a magical lamp, and your very own magic carpet complete with tassels, this roomy satchel can carry your purse items as well as books, schoolwork, or even disguises. The bag includes gold metal embellishments and comes with attached short straps, as well as a removable longer shoulder strap. The inside is divided into two main compartments with a small zip closure pocket between them. There is also a small zip closure pocket and a small open pocket in the interior of the bag. The top closes with a strap. The Magic Carpet can hang on the outside, or you can tuck it into an interior pocket to keep your travel plans secret. Either way, you may find yourself emulating the Genie when you say, ""Give me some tassel!""Product Specifications Disney Jasmine Debossed Faux Leather Satchel BagOfficially-licensed Disney merchandiseA ThinkGeek exclusive from our friends at LoungeflyHolds everything you need for your own magic carpet rideFor fans of Aladdin, everyone from princesses to street ratsBag features image of Jasmine, debossedSatchel closes with strapShort straps and detachable long strapInside has 2 compartmentsSmall zip closure pocket in dividerSmall zip closure pocket on insideSmall open pocket on insideMagic carpet attached by a short strapMaterials: Faux LeatherDimensions:Bag: approx. 9 1/2"" tall x 12"" wide x 6"" deepLong arm strap: approx. 47"" adjustable to 23""Magic carpet: approx. 6"" tall x 4 1/4"" wideCarpet strap: approx. 4"" long from strapWARNING - ENTANGLEMENT HAZARD. Keep away from very young children. Do not place around neck."
Origami Handbag of Holding,"Folding time and space
			
		
		Over the years, you guys have had lots of feedback about our Bag of Holding line, so we decided to open it up to a few new form factors. Try them out. Let us know what fits your lifestyle and how you use them. We'll keep the ones you like, revamp the ones we could make better, and drop the ones you don't like into the fires of Mordor. Likeyado.The original Bag of Holding would hold anything you could fit into the opening (provided you weren't too clever). In the real world, unfortunately, we can't fold space or reach into a pocket dimension, so our bags have to expand when we want them to hold more things. And that's just what this bag does. It's a hexagon shape (like a d20 - clever, eh?) when you don't need to carry a lot; it snaps closed with a metallic d20 rivet. But when you need to pack things in, you can open that snap up, and it becomes an isosceles trapezium (yes, we had to look up our quadrilaterals so we didn't accidentally call it a ""rhombus""), ready to Hold All the Things."
Convertible Wallet-Purse of Holding,"Bigby's Convenient Clutch
			
		
		Over the years, you guys have had lots of feedback about our Bag of Holding line, so we decided to open it up to a few new form factors. Try them out. Let us know what fits your lifestyle and how you use them. We'll keep the ones you like, revamp the ones we could make better, and drop the ones you don't like into the fires of Mordor. Likeyado.""Convertible Wallet-Purse of Holding"" is a clunky name for a very useful item. This item is a set of two billfolds, which can be used individually or together, both of which have D-rings for the included shoulder strap to turn them into a purse. They snap together, if you so desire, between them providing 15 card slots, 3 zip pouches for coins (or whatever), 3 bill areas, a large pocket (for smaller phones or notepads) and a smaller one for chapstick or a thumb drive (a few Moo cards slide right in perfectly). Choose to carry one or both - whatever the situation calls for. And carry them as a clutch or a shoulder bag. We're all about the versatility here."
Doctor Who TARDIS Messenger Bag,"Time and Relative Dimensions in Satchels
			
		
		Looking for a little help with your finances? Need an extra week before writing the rent check? This bag is just what The Doctor ordered! If you put your wallet and keys on the inside, they'll be bigger! Oh wait, no. That's not desirable behavior, is it? We're already carrying enough stuff around! Let the TARDIS carry all your stuff. Made from durable faux leather, this Doctor Who TARDIS Messenger Bag can be your new favorite companion. Bonus: when you reach in and can't find something, you can declare that it's probably somewhere else in the space-time continuum. We hear rumours, though, that British spelling may try to sneak its way into your paperwork and cheques if you organise them in here. However, we're sceptical.Product Specifications Doctor Who TARDIS Messenger BagOfficially-licensed Doctor Who merchandiseFrom our friends at LoungeflyIt's a messenger bag style, but it's more the size of a handbagFlip the flap up to display the police telephone sign and a magnetic snap closureOne zipped and one open pocket on the insideCute TARDIS print liningStrap has adjustable 13""-26"" dropMaterials: Faux leatherCare Instructions: Spot clean with a damp cloth and mild detergent ImportedExterior Dimensions: 10"" wide x 9"" tall x 4"" deepInterior Dimensions: 9 1/2"" wide x 8 1/2"" tall x 3 1/2"" deep"
Captain Marvel Crossbody Purse,"Kree durability with Avengers style
			
		
		Purses aren't just accessories; they're a lifeline. On any given day they need to hold a wallet, phone, keys, umbrellas, lipgloss, a book or two, pepper spray, even the occasional sandwich. And they need to do so without being bulky and without falling apart under the strain - while still coordinating with your closet. So really, more purses need to take their inspiration from Carol Danvers. As Captain Marvel, she can fly to space and back without damage. She can shoulder an aircraft carrier at a moment's notice. And she always looks fantastic while she does it. This practical, durable faux leather purse shares all the best qualities of Captain Marvel (except her fauxhawk, sadly). Her iconic red, blue and gold costume is recreated with applique details, including the classic starburst on the front and mini starburst custom rivets on the handles. And if the superhero motif isn't enough to scare away pickpockets, the removable crossbody strap is sure to help. Roomy enough for all the essentials and then some, this purse has an interior zipper pocket and a top zip closure. And in case all those primary colors had you worried, there is one thing that's understated on this bag: the custom black-on-black Marvel logo lining on the interior. Product Specifications Captain Marvel Crossbody PurseOfficially-licensed Marvel merchandiseFrom our talented friends at LoungeflyGold dimensional embroidery replicates Captain marvel's red, blue, and gold costumeMini starburst custom rivets keep the handles in placeSturdy enough for space travel; stylish enough for a night on the townFully-lined with a Marvel logo pattern in black on blackInterior zipper pocket with a top zip closureIncludes removable shoulder strap4 1/2"" drop on standard handles11"" - 23"" drop on adjustable crossbody strapMaterials: durable faux leather with applique detailsDimensions: 9"" wide x 7.5"" tall x 6"" deepWARNING - ENTANGLEMENT HAZARD. Keep away from very young children. Do not place around neck."
Disney Mulan Debossed Faux Leather Satchel Bag,"I'll Make a Fan Out of You
			
		
		Whenever you make great sacrifices for loved ones, Mulan will have your back with this jade green ThinkGeek-exclusive Disney Mulan Debossed Leather Satchel Bag. Featuring Mulan's image and name, a small temple, and an open fan to obscure your own intentions, this roomy satchel will come in handy as you ward off any invasions in your own life. It's also the perfect Mushu carrier. The bag includes gold metal embellishments and comes with attached short straps, as well as a removable longer shoulder strap. The inside is divided into two main compartments with a small zip closure pocket between them. There is also a small zip closure pocket and a small open pocket in the interior of the bag. The top closes with a strap. The fan can hang on the outside, or tuck it into an interior compartment to hide it away until you need it to disarm your adversaries.Product SpecificationsDisney Mulan Debossed Faux Leather Satchel BagOfficially-licensed Disney merchandiseA ThinkGeek exclusive from our friends at LoungeflyHolds your own lucky cricketAnd a mirror to reflect who you really areFor fans of Mulan, those on both traditional and non-traditional pathsBag features image of Mulan, debossedSatchel closes with strapShort straps and detachable long strapInside has 2 compartmentsSmall zip closure pocket in dividerSmall zip closure pocket on insideSmall open pocket on insideFan attached by a short strapMaterials: Faux LeatherDimensions:Bag: approx. 11 1/5"" wide x 9 1/2"" tall x 6"" deepLong arm strap: approx. 47"" adjustable to 23""Fan: approx. 5 1/4"" wide at widest x 3"" tall at tallestFan strap: 3 1/2"" long from strapWARNING - ENTANGLEMENT HAZARD. Keep away from very young children. Do not place around neck."
Convertible Tote of Holding,"Expand your carrying capacity
			
		
		Over the years, you guys have had lots of feedback about our Bag of Holding line, so we decided to open it up to a few new form factors. Try them out. Let us know what fits your lifestyle and how you use them. We'll keep the ones you like, revamp the ones we could make better, and drop the ones you don't like into the fires of Mordor. Likeyado.One can never have too many bags, we say. And totes are particularly useful, whether you're headed out to the grocery store, gaming night, or just want someplace to stash your purse and umbrella. We like this one for a few reasons. One, it shows off our RPG fandom with the d20 accent print across the top. And two, it's really tall, which allows us to stash more stuff away. After all, if you brought a tote along with you to protect your comic books, it isn't protecting them if they're sticking out the top, right? And, of course, three, it can turn into a backpack at a moment's notice. Well, not so fast that it's a free action (since those don't exist any more). Let's go with Use Object as your action during the turn to transform the tote to a backpack or vice versa, so still pretty dang fast. Just don't do it in combat."
GotG Groot Crossbody Bag,"The answer is ""I am Groot.""
			
		
		Groot possesses a very limited vocabulary to our ears, but Rocket Raccoon understands him as plain as day. Good thing, too, because one moment, Groot's intently following the team's instructions, and the next, he's... well, spoilers! We'll let him tell you what he was doing in his own words: I am Groot.   With the GotG Groot Crossbody Bag, you can carry all your galaxy-saving essentials in one durable, adorable container. There's no telling what kind of adventures are going to unfold with Groot as your sidekick, so pack accordingly, including a mixtape (or suitable alternative) for movin' and groovin'! Product SpecificationsGotG Groot Crossbody BagOfficially-licensed Guardians of the Galaxy merchandiseMade by LoungeflyBag is shaped like Baby Groot's head, with debossed bark details and expressive applique eyes and mouthPlenty of room in the main compartment for Groot to hold all your lootRemovable, adjustable crossbody shoulder strapTop zip closureFully lined interior features ""I am Groot!"" speech bubble patternInterior zipper pocket with a top zip closureHang-tag shaped like a speech bubble, with ""I am Groot!"" on one side and Guardians of the Galaxy logo on the reverseMetal Marvel and Loungefly logo plaque on back of bagMaterials: faux leatherCare Instructions: Wipe clean with damp clothImportedDimensions: approximately 7 1/2"" wide x 8 3/4"" tall x 7 1/2"" deepCrossbody strap adjusts from 11"" to 23"" dropWARNING - ENTANGLEMENT HAZARD. Keep away from very young children. Do not place around neck."
Museum of Gudetama Mini Leather Backpack,"Your Own Egg-spressionist Exhibit
 Gudetama, everyone's favorite lazy egg, is featured in their own art exhibit on this ThinkGeek-exclusive Museum of Gudetama Mini Leather Backpack. Posing in replicas of famous paintings - such as The Scream, The Mona Lisa, The Milkmaid, The Birth of Venus, and even a painting of ""Elvis"" on black velvet - they are immortalized on the striking red wall of this cracking good gallery. The paintings are well lit and are cordoned off from anyone hungry getting too close.  The backpack's roomy striped interior makes finding your items easy, even when you're feeling as unmotivated as Gudetama. This lazy egg's defeatist attitude need not be contagious, however. You are unlikely to be eaten during the course of your day. Right? Product Specifications Museum of Gudetama Mini Leather BackpackOfficially-licensed Sanrio merchandiseA ThinkGeek exclusive from our friends at LoungeflyAn artsy bag for sunny (side up) daysAn ideal gift for lovers of Gudetama and art historyStriped interior makes even keys easy to spotMain compartment has double zipper closureSmall front zipper pocket2 side pocketsIncludes hang loopMaterials: Faux leatherExterior Dimensions: 10"" tall x 9 1/2"" wide x 5"" deepStraps are 24"" adjustable to 30""WARNING - ENTANGLEMENT HAZARD. Keep away from very young children. Do not place around neck."
Pok&#xe9;mon Starter Faux Leather Convertible Purse,"Get a Head Start
			
		
		It never fails, whichever starter you pick, that rival of yours is going to pick the one that beats it. Why is this a rock-paper-scissors game where someone goes before the other one, huh, Professor Oak? Oh, right, because that's his grandson there, and this is a good old case of nepotism. Don't worry, though - you're still going to be the very best, you just gotta start catching!Jump ahead of the competition and grab four of the best starters ever, with this Pokémon Starter purse! Featuring a pattern of Bulbasaur, Charmander, Squirtle, and of course Pikachu with a Saffiano crosshatch texture, you'll never be without the Pokémon you need to win the battle. And it's convertible, which is handy for trainers on the go - grab the small tote handles, or add the removable (and adjustable) crossbody strap to free your hands up. Finally, you can feel safe and secure carrying your Pokémon around in this, because the zippered top will keep Team Rocket out! Product SpecificationsPokémon Starter Faux Leather Convertible PurseOfficially-licensed Pokémon merchandiseBlack bag featuring a pattern of Bulbasaur, Charmander, Squirtle, and PikachuMade by our friends at LoungeflyPerfect for the trainer on the go, which is all of usMedium interior zipper pocket on one sideMedium interior open pocket on the otherZip top closureInterior is lined with black and white Poké Ball fabricTwo short tote carry strapsRemovable/adjustable crossbody strapSaffiano crosshatch textureMaterials: Vegan faux (PU) leatherDimensions: 12"" wide x 10"" tall x 4 3/4"" deepStrap adjustable from 26"" (max) to 12"" (min)WARNING - ENTANGLEMENT HAZARD. Keep away from very young children. Do not place around neck."
