Date,Product Name,Category,Subcategory,Price,Sale,Savings,Fandom,Character,Stock
11/16/2018,Gaming Dice Soap Set,Accessories,Cosmetics & Body,29.99,FALSE,,Gaming,b'undefined',In Stock
11/16/2018,Harry Potter Gryffindor Spa Set,Accessories,Cosmetics & Body,79.99,FALSE,,Harry Potter,b'Gryffindor',In Stock
11/16/2018,Shower Shock Caffeinated Soap,Accessories,Cosmetics & Body,7.99,FALSE,,General,b'General',In Stock
11/16/2018,Star Wars R2-D2 Spa Set,Accessories,Cosmetics & Body,47.99,TRUE,40,Star Wars,b'R2-D2',In Stock
11/16/2018,Anime Pigtails Wig,Accessories,Cosmetics & Body,14.99,FALSE,,Anime/Manga,b'undefined',In Stock
11/16/2018,Harry Potter Snape Always Spa Set,Accessories,Cosmetics & Body,47.99,TRUE,40,Harry Potter,b'Snape',In Stock
11/16/2018,Wonder Woman Spa Set,Accessories,Cosmetics & Body,47.99,TRUE,40,DC,b'Wonder Woman',In Stock
11/16/2018,Blackout Sleep Masks,Accessories,Cosmetics & Body,34.99,FALSE,,undefined,b'undefined',In Stock
11/16/2018,Pusheen Glitter Graphic Cosmetic Bag,Accessories,Cosmetics & Body,10.79,TRUE,40,Pusheen,b'undefined',In Stock
11/16/2018,8-Bit Soap Set,Accessories,Cosmetics & Body,34.99,FALSE,,Video Games,b'undefined',In Stock
11/16/2018,Yuri!!! on ICE Folding Mirror,Accessories,Cosmetics & Body,19.99,FALSE,,Anime/Manga,b'undefined',In Stock
11/16/2018,Hello Kitty Narikiri Face Mask ,Accessories,Cosmetics & Body,0,FALSE,,Anime/Manga,b'undefined',In Stock
11/16/2018,DIY Men's Body Care Kit,Accessories,Cosmetics & Body,64.99,FALSE,,undefined,b'undefined',In Stock
11/16/2018,Hello Kitty Foot Cooling Sheet,Accessories,Cosmetics & Body,24.99,FALSE,,Anime/Manga,b'undefined',In Stock
11/16/2018,Hello Kitty 3-Pack Hand Cream Set ,Accessories,Cosmetics & Body,34.99,FALSE,,Anime/Manga,b'undefined',In Stock
11/16/2018,Hello Kitty Face Towel,Accessories,Cosmetics & Body,34.99,FALSE,,Anime/Manga,b'undefined',In Stock
11/16/2018,Hello Kitty Cherry Blossom Essence Face Pack (7Sheets X 5Pack),Accessories,Cosmetics & Body,29.99,FALSE,,Anime/Manga,b'undefined',In Stock
11/16/2018,Hello Kitty Lip Cream,Accessories,Cosmetics & Body,9.99,FALSE,,Anime/Manga,b'undefined',In Stock
11/16/2018,Hello Kitty 7Pcs Mask Pearl,Accessories,Cosmetics & Body,24.99,FALSE,,Anime/Manga,b'undefined',In Stock
